Front,Back,Tags
"What is the formal case caption and docket number of the principal trial-court action between Anthropic and the federal government?","Anthropic PBC v. U.S. Department of War, et al., No. 3:26-cv-01996-RFL (N.D. Cal.). Judge Rita F. Lin presiding.",stable anthropic-dow case-id
"In what court was Anthropic's principal merits action filed, and why is it not in the D.C. Circuit despite the case sometimes being described that way?","Filed in the U.S. District Court for the Northern District of California (Judge Rita F. Lin). The companion D.C. Circuit case (No. 26-1049) is a narrower petition for review of a separate FASCSA (41 U.S.C. § 4713) letter; statutory channeling sends FASCSA review directly to the D.C. Circuit under 41 U.S.C. § 1327.",stable anthropic-dow procedural
"What are the three parallel proceedings in the Anthropic-Department of War dispute and what is each one about?","(1) N.D. Cal. 3:26-cv-01996 — merits action challenging the Presidential Directive, the Hegseth Directive's secondary boycott, and the 10 U.S.C. § 3252 designation. (2) D.C. Cir. 26-1049 — petition for review of the separate 41 U.S.C. § 4713 (FASCSA) letter. (3) 9th Cir. 26-2011 — government's interlocutory appeal of the N.D. Cal. preliminary injunction.",stable anthropic-dow procedural
"On what date was the Department of Defense renamed the Department of War, and by what instrument?","September 5, 2025, by Executive Order 14347, 90 Fed. Reg. 43893.",stable anthropic-dow background
"What two specific use cases does Anthropic's Usage Policy prohibit and that became the flashpoint of the dispute with DoW?","(1) Mass surveillance of Americans; (2) lethal autonomous warfare. Anthropic's position is that Claude is not currently safe for those uses.",stable anthropic-dow facts
"Who is Emil Michael and what role did he play in the underlying events?","Under Secretary of War for Research and Engineering. He led DoW's contract negotiations with Anthropic and later authored the memo (the Michael Memo) supporting the supply-chain risk designation, even though 48 C.F.R. § 239.7304(a) requires the risk assessment to come from the Under Secretary of Defense for Intelligence.",stable anthropic-dow people
"What is the 'Presidential Directive' as the case uses that term?","President Trump's Truth Social post of February 27, 2026, at 3:47 p.m. ET, directing 'EVERY Federal Agency in the United States Government to IMMEDIATELY CEASE all use of Anthropic's technology.' Cites no statutory authority.",stable anthropic-dow facts
"What is the 'Hegseth Directive' as the case uses that term?","Secretary of War Pete Hegseth's X post of February 27, 2026, that (a) directs DoW to designate Anthropic a 'Supply-Chain Risk to National Security' and (b) declares 'Effective immediately, no contractor, supplier, or partner that does business with the United States military may conduct any commercial activity with Anthropic.' Characterized as 'final.'",stable anthropic-dow facts
"What is the 'Supply Chain Designation' as the case uses that term?","The March 3, 2026 formal determination by Secretary Hegseth designating Anthropic a supply-chain risk under 10 U.S.C. § 3252, communicated by letter dated March 3 and received March 4. A separate March 3 letter to Anthropic invoked 41 U.S.C. § 4713 (FASCSA) — that letter is the subject of the D.C. Circuit case.",stable anthropic-dow facts
"What statute is 10 U.S.C. § 3252 and what conduct does it target?","The Defense Department supply-chain-risk authority (originally NDAA 2011 § 806). It allows the Secretary to designate a source as a 'supply chain risk' — defined as the risk that 'an adversary may sabotage, maliciously introduce unwanted function, or otherwise subvert' a national security system. Legislative history and DoD implementing instructions show the statute was aimed at foreign intelligence services, terrorists, and hostile actors, not domestic vendors.",stable doctrine statutes
"What statute is 41 U.S.C. § 4713 and what does it provide that § 3252 does not?","FASCSA — the Federal Acquisition Supply Chain Security Act. Compared with § 3252, FASCSA provides 30 days' notice to the target, an opportunity to respond, interagency review, and judicial review in the D.C. Circuit under 41 U.S.C. § 1327. § 3252 has none of those features.",stable doctrine statutes
"What three findings must the Secretary make in writing under 10 U.S.C. § 3252(b) before designating a source a supply-chain risk?","(1) Consultation with procurement or other relevant officials of the covered agency; (2) a written determination that exclusion is necessary to protect national security by reducing supply-chain risk AND that less intrusive measures are not reasonably available; (3) notice to the appropriate congressional committees explaining the risk and bases.",stable doctrine statutes
"Under DoW's implementing regulations at 48 C.F.R. § 239.7304(a), which office must provide the risk assessment supporting a § 3252 designation?","The Under Secretary of Defense for Intelligence. In Anthropic's case, the assessment came from the Under Secretary for Research and Engineering (Emil Michael) instead — likely a procedural violation.",stable doctrine regulations
"What is 5 U.S.C. § 705 and why did Anthropic invoke it?","The APA provision authorizing a reviewing court (or, in some cases, the agency) to postpone the effective date of agency action pending judicial review. Anthropic sought a § 705 stay in addition to a TRO/PI. Judge Lin granted a § 705 stay of the Hegseth Directive and Supply Chain Designation.",stable doctrine statutes
"What did Judge Lin's March 26, 2026 preliminary injunction actually enjoin?","(1) Implementation of the February 27 Presidential Directive by all Defendant Agencies; (2) Implementation of the Hegseth Directive and the Supply Chain Designation by DoW and Secretary Hegseth; (3) Issuance or maintenance of guidance, directives, or communications implementing those measures. The order also stays the effective date of the Hegseth Directive and Supply Chain Designation under 5 U.S.C. § 705. Bond set at $100. Seven-day administrative stay built in.",volatile anthropic-dow ruling
"What three legal theories did Judge Lin find Anthropic likely to succeed on for purposes of the preliminary injunction?","(1) First Amendment retaliation; (2) Fifth Amendment procedural due process; (3) APA — contrary to law, in excess of statutory authority, and arbitrary and capricious. The Court did not reach Anthropic's ultra vires challenge to the Presidential Directive.",stable anthropic-dow ruling
"What is the three-prong test for a First Amendment retaliation claim under Ninth Circuit law?","Per Arizona Students' Ass'n v. Arizona Bd. of Regents, 824 F.3d 858 (9th Cir. 2016): (1) plaintiff engaged in constitutionally protected activity; (2) the defendant's actions would chill a person of ordinary firmness from continuing to engage in the protected activity; (3) the protected activity was a substantial motivating factor in the defendant's conduct. If plaintiff makes prima facie showing, burden shifts under Hartman v. Moore, 547 U.S. 250, to defendant to show it would have taken the action regardless.",stable doctrine first-amendment
"Why did Judge Lin find Anthropic's public statements were protected First Amendment activity?","Anthropic and Amodei spoke publicly on the contracting impasse (January 2026 essay; February 26 statement) about AI safety in the military and surveillance context. This is 'speech on matters of public concern' which is 'at the heart of the First Amendment's protection' per Snyder v. Phelps, 562 U.S. 443 (2011).",stable doctrine first-amendment
"What contemporaneous statements did Judge Lin cite as direct evidence that retaliation was a substantial motivating factor in the Challenged Actions?","Hegseth's X post calling Anthropic's position 'arrogance,' 'sanctimonious rhetoric,' 'corporate virtue-signaling,' 'defective altruism,' 'Silicon Valley ideology'; Trump's Truth Social post calling Anthropic a 'RADICAL LEFT, WOKE COMPANY' and 'Leftwing nut jobs' who 'made a DISASTROUS MISTAKE trying to STRONG-ARM the Department of War'; the Michael Memo's express reliance on Anthropic's 'increasingly hostile manner through the press' as a basis for the supply-chain risk designation.",stable anthropic-dow ruling
"How did Judge Lin distinguish American Federation of Government Employees v. Trump, 167 F.4th 1247 (9th Cir. 2026), which the government invoked?","In AFGE, the challenged executive order had no retaliatory language on its face and had a 'legitimate grounding in national security concerns'; stray hostile remarks in a separate talking-points sheet were not enough. In Anthropic, by contrast, the Challenged Actions on their face indicate retaliation, and the government identified no legitimate national security justification for the breadth of the measures.",stable doctrine first-amendment
"What is the 'reputation plus' test as applied to government debarment, and what circuit articulated it?","D.C. Circuit (Trifax Corp. v. District of Columbia, 314 F.3d 641 (D.C. Cir. 2003); Old Dominion Dairy Prods., Inc. v. Sec'y of Defense, 631 F.2d 953 (D.C. Cir. 1980)): a deprivation of protected liberty occurs when government action imposes a 'broad preclusion' that 'seriously affect[s], if not destroy[s]' a company's ability to obtain contracts in its chosen field. A complete prohibition on practicing the profession is not required.",stable doctrine due-process
"Under Mathews v. Eldridge, what three factors govern the procedural-due-process balance, and how did Judge Lin apply them?","(1) The private interest affected; (2) the risk of erroneous deprivation through the procedures used and the value of additional safeguards; (3) the government's interest and the burdens of additional procedures. Lin found Anthropic's interests in reputation and federal contracting eligibility were significant; the absence of pre-deprivation notice created a serious risk of error; and the government showed no exigency to justify bypassing pre-deprivation process.",stable doctrine due-process
"What evidence undermined the government's claim of national-security exigency justifying lack of pre-deprivation process?","(1) Anthropic's Usage Policy restrictions had been in place for over a year and DoW had previously praised the company; (2) DoW's own six-month transition plan suggests no urgency; (3) U.S. forces used Claude in active operations in Iran within days of the ban; (4) Days before, Hegseth had threatened to invoke the Defense Production Act on the opposite premise — that Anthropic was essential to national security.",stable anthropic-dow ruling
"What is the Webster v. Doe carveout and why does it matter for the § 3252 review bar?","Webster v. Doe, 486 U.S. 592 (1988): even broad statutory preclusion-of-review provisions are read not to preclude constitutional claims unless Congress clearly intends to do so. The § 3252 review bar does not mention constitutional claims — so Anthropic's First Amendment and due process challenges survive even if the statutory bar applied.",stable doctrine apa
"What does APA § 706(2) require a reviewing court to do, and which subsections did Anthropic invoke?","Per 5 U.S.C. § 706(2), a court 'shall' hold unlawful and set aside agency action that is (A) arbitrary, capricious, an abuse of discretion, or otherwise not in accordance with law; (C) in excess of statutory jurisdiction, authority, or limitations, or short of statutory right; (D) without observance of procedure required by law. Anthropic invoked all three subsections.",stable doctrine apa
"What is the arbitrary-and-capricious standard from Motor Vehicle Mfrs. Ass'n v. State Farm?","An agency action is arbitrary and capricious if the agency: (1) relied on factors Congress did not intend it to consider; (2) entirely failed to consider an important aspect of the problem; (3) offered an explanation that runs counter to the evidence; or (4) gave an explanation so implausible it could not be ascribed to a difference in view or to agency expertise. 463 U.S. 29, 43 (1983).",stable doctrine apa
"What is the Department of Commerce v. New York pretext doctrine and how did Lin apply it?","Department of Commerce v. New York, 588 U.S. 752 (2019): even where an agency has statutory authority, courts must reject action if the stated rationale is a 'contrived' pretext for the actual motive; courts are 'not required to exhibit a naiveté from which ordinary citizens are free.' Lin applied this to the Supply Chain Designation, finding the timing (all supporting records dated March 2-3, 2026), the inconsistencies (Michael's same-day cordial emails to Amodei; Hegseth's DPA threat days earlier), and the post-hoc nature of the record showed the rationale was pretextual.",stable doctrine apa pretext
"What is the FAR provision the Lawfare commentary cites limiting the use of debarment, and what does it say?","Federal Acquisition Regulation 9.402(b): 'The serious nature of debarment and suspension requires that these sanctions be imposed only in the public interest for the Government's protection and not for purposes of punishment.' (48 C.F.R. § 9.402(b))",stable doctrine procurement
"What unique constitutional theory did Harold Koh and co-authors raise on Just Security that is not (yet) in Anthropic's complaint?","Bill of Attainder. The Just Security piece argues the Supply Chain Designation meets both prongs of the modern attainder test: (1) it applies with specificity (singles out Anthropic by name); and (2) it imposes punishment without judicial process. U.S. Const. art. I, §§ 9, 10 forbid bills of attainder at both federal and state levels.",stable commentary constitutional-theory
"What is the operative content of Judge Lin's preliminary injunction with respect to what the government can still do?","The Order 'restores the status quo' as of February 27, 2026. It does not require DoW to use Claude and does not prevent DoW from transitioning to other AI providers, so long as those actions are consistent with applicable regulations, statutes, and constitutional provisions. It only bars implementing or enforcing the three Challenged Actions.",stable anthropic-dow ruling
"What happened with the government's appeal to the Ninth Circuit (No. 26-2011)?","The government filed Notice of Appeal on April 2, 2026. On April 22, the government moved to stay the appellate proceedings; Anthropic did not oppose; the stay was granted April 27, 2026. The appeal is currently dormant pending resolution of the D.C. Circuit case. Government must file a motion for relief within 21 days after D.C. Cir. resolution.",volatile anthropic-dow procedural
"What three issues did the D.C. Circuit direct the parties to address at oral argument in No. 26-1049?","(1) Whether the court has jurisdiction over Anthropic's petition under 41 U.S.C. § 1327, which provides for review of 'covered procurement actions' taken under § 4713; (2) whether the government has, through the Determination or Notice or otherwise, directed or taken specific covered procurement actions against Anthropic; (3) whether, and if so how, Anthropic is able to affect the functioning of its AI models before or after the models, or updates to them, are delivered to the Department.",stable anthropic-dow procedural
"What happened with Anthropic's emergency stay motion in the D.C. Circuit case?","DENIED in April 2026 by the panel (Wilkins, Katsas, Rao). Commentary reads the denial as procedurally driven rather than a signal on the merits.",volatile anthropic-dow procedural
"What is the panel composition for the D.C. Circuit's merits decision in No. 26-1049?","Judges Henderson, Katsas, and Rao. (Judge Wilkins sat on the earlier emergency stay panel.) Oral argument held May 19, 2026.",volatile anthropic-dow procedural
"What was the procedural development at the very end of the D.C. Circuit oral argument cycle that suggests the panel is still working through issues?","On May 21, 2026, the panel ordered supplemental briefs (not to exceed 2,500 words) on its own motion. Originally due May 28; extended on joint motion to June 4, 2026.",volatile anthropic-dow procedural
"What is the case schedule for cross-motions in the N.D. Cal. action after the PI was granted?","Joint stipulation entered April 23, 2026 (Dkt. 150): Certified Administrative Record due 5/22/2026 (extended to 5/29 for DHS); Defendants' Answer due 6/8/2026; Anthropic's MSJ due 6/10/2026; Defendants' opposition and cross-motion due 6/24/2026; Anthropic's reply and opposition due 7/8/2026; Defendants' reply due 7/15/2026; Motion hearing set for 7/30/2026 at 10:00 a.m.",volatile anthropic-dow schedule
